1stFlrSF,3SsnPorch,BldgType,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFullBath,BsmtHalfBath,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,HouseStyle,KitchenQual,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MasVnrArea,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Sale Price
1268,0,0,3,540,0,3,0,0,4,1,2,2,0,0,2,1,2,1,6,244,1,0,5,1,1954.0,1268,0,2,2,3,0,7800,4,78.0,3,129,0,2,12,98,5,5,2,0,1,1,4,0,1,7,1268,0,1954,1954,4,11.790564777297387
1287,0,0,3,72,258,0,1,0,4,1,2,2,0,0,2,1,1,1,6,576,2,0,5,5,1997.0,1287,0,0,2,2,0,9830,0,73.0,0,0,0,2,12,17,6,5,2,0,1,1,4,182,1,7,1063,364,1959,2006,4,11.995357787034976
953,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,460,2,2,5,1,2000.0,1664,1,0,5,3,0,8121,4,65.0,0,0,0,0,8,40,4,6,2,0,1,1,4,0,1,7,953,100,2000,2000,0,12.057578437658945
1120,0,0,4,0,0,4,0,0,3,1,1,2,0,0,2,1,1,2,3,680,2,0,5,5,1991.0,1588,0,4,0,3,0,17120,4,80.0,3,0,0,6,4,59,3,4,0,0,1,1,4,0,1,7,0,0,1959,1959,2,11.808821212646512
752,0,4,3,623,121,0,1,0,2,1,2,2,0,0,3,0,1,1,6,264,1,3,5,1,1984.0,752,0,4,2,3,0,7175,4,50.0,3,0,0,1,20,0,4,6,2,0,1,1,4,90,1,4,744,353,1984,1984,4,11.736077016252437
1319,0,0,3,428,180,1,1,0,4,1,2,2,0,0,3,0,2,1,3,270,1,3,5,1,1953.0,1319,0,4,2,3,0,10634,4,79.0,3,0,0,10,12,0,5,5,2,0,1,1,4,0,1,5,608,66,1953,1953,3,11.719947764402807
847,0,0,3,0,0,6,0,0,2,1,2,2,0,0,2,1,2,2,6,434,2,0,5,3,2003.0,1928,1,0,5,2,0,8200,4,65.0,3,0,0,6,5,48,4,7,2,0,1,1,4,0,1,8,847,100,2003,2004,1,12.299112067295642
904,0,0,1,350,0,1,1,0,1,0,2,2,0,0,3,0,0,0,0,0,0,1,3,6,0.0,904,1,2,2,1,2,10020,4,65.5,0,0,0,2,7,0,0,1,2,0,1,1,4,0,1,4,683,0,1922,1950,3,11.0186455364637
914,0,0,0,298,0,2,0,0,2,1,2,2,0,0,3,0,2,1,6,576,2,3,5,5,1998.0,914,0,0,6,3,0,8846,1,57.0,0,0,0,6,5,0,4,5,2,0,1,1,4,0,1,5,870,0,1996,1996,0,11.904974309480183
1580,0,0,3,0,0,6,0,0,2,1,2,2,0,0,2,1,2,3,6,610,2,2,5,1,2004.0,2466,0,0,5,2,0,11143,0,102.0,0,0,0,11,21,214,4,8,2,0,1,1,4,0,1,8,1580,159,2004,2005,1,12.73670383776449
1856,0,0,0,1445,0,2,1,0,0,1,2,2,0,0,0,1,2,1,6,834,3,0,5,1,2010.0,1856,1,0,2,0,0,11394,0,88.0,3,221,0,5,22,0,1,9,2,0,1,3,5,0,1,8,1856,113,2010,2010,4,12.885204569609956
1007,0,0,3,0,0,6,0,0,2,1,6,2,0,0,5,1,2,2,6,463,2,0,5,1,2000.0,1800,1,0,5,3,0,8123,4,60.0,0,4,0,5,8,63,4,6,2,0,1,1,4,0,1,7,982,100,2000,2000,3,12.095146671399466
1026,0,0,3,218,0,3,0,0,4,1,2,2,0,242,2,1,0,2,6,308,1,3,5,5,1924.0,1691,0,4,0,2,0,5000,4,50.0,3,0,0,4,18,0,5,5,2,0,1,1,4,0,1,6,1026,0,1924,1950,4,11.751950239425476
1301,0,0,3,0,0,6,1,0,2,1,2,2,0,0,2,1,2,2,6,572,2,2,5,1,2006.0,1301,0,0,2,2,0,7200,4,60.0,3,0,0,7,21,121,4,7,2,0,1,1,5,0,1,5,1293,216,2006,2006,0,12.142871895843887
939,0,0,0,0,0,6,0,0,2,1,2,2,0,0,3,0,2,2,6,639,2,2,5,1,2006.0,1797,1,0,5,2,0,9245,4,79.0,0,0,0,3,5,53,4,7,2,0,1,1,4,0,1,8,939,144,2006,2006,1,12.271396795480596
784,0,0,3,0,0,6,0,0,1,0,2,2,0,91,3,0,0,1,6,360,2,3,1,5,1950.0,784,0,4,1,3,0,9000,0,60.0,3,0,0,9,20,0,2,6,0,0,1,1,4,0,1,5,784,0,1928,1950,3,11.23850177707664
1079,0,0,0,985,0,2,1,0,2,1,1,2,0,0,1,2,2,2,6,501,2,0,5,1,1992.0,1953,1,0,5,2,1,53107,0,80.0,1,0,0,5,4,231,4,6,2,0,1,1,4,0,1,9,1580,216,1992,1992,1,12.388398368982115
1269,0,4,3,24,0,2,0,0,2,1,2,2,0,0,5,1,2,2,6,430,2,0,5,1,2004.0,1269,0,0,2,2,0,3182,4,43.0,3,4,0,3,0,20,4,8,2,0,1,1,4,144,1,6,1256,146,2004,2005,4,12.165255859329688
658,0,0,3,0,0,6,0,0,4,1,1,2,0,0,3,0,2,1,6,0,0,1,3,6,0.0,1184,0,4,0,3,0,8410,2,58.0,3,0,0,4,7,151,2,5,0,0,1,2,1,0,1,8,658,0,1910,1996,0,11.302216779257382
1125,0,0,0,631,0,0,1,0,4,1,2,2,0,0,1,1,1,1,6,352,1,3,5,5,1977.0,1125,0,0,7,3,0,7200,4,72.0,3,167,0,9,7,0,5,6,2,0,1,3,0,0,1,6,1041,296,1976,1976,3,11.736077016252437
1479,0,0,3,0,0,6,0,0,2,1,2,2,0,0,3,0,2,2,6,577,2,2,5,1,1999.0,1479,0,0,2,2,0,9382,1,93.0,0,76,0,6,5,25,4,7,2,0,1,1,4,0,1,6,1468,120,1999,2000,2,12.160033942617156
1742,0,0,0,1280,0,2,1,0,0,1,2,2,0,0,0,1,2,2,6,846,3,0,5,3,2008.0,2332,1,0,5,0,0,12474,4,96.0,3,178,0,7,16,134,4,10,2,0,1,1,5,0,1,9,1682,196,2007,2008,2,12.962196972666593
961,0,0,3,241,391,5,1,0,4,1,2,2,0,112,3,0,0,1,6,384,1,3,5,5,1978.0,1367,0,0,0,3,0,8405,4,50.0,3,0,0,3,7,130,7,5,2,0,1,1,4,0,1,7,861,0,1900,1950,2,11.686887175419702
804,0,0,3,690,0,0,1,0,0,1,2,2,0,0,5,1,2,2,6,560,2,0,5,3,2001.0,1961,1,0,5,2,0,12209,1,71.0,0,0,0,5,11,192,4,6,2,0,1,1,4,0,1,7,804,125,2001,2002,3,12.278397958261774
882,0,0,4,0,0,4,0,0,3,1,2,2,0,0,3,0,3,1,6,294,1,2,5,1,1959.0,882,0,4,2,3,0,8339,4,73.0,0,0,1200,6,12,0,6,5,2,0,1,1,4,0,1,5,0,0,1959,1959,1,11.575909653758895
788,0,0,3,266,0,5,0,0,4,1,1,2,0,0,5,2,1,1,6,0,0,1,3,6,0.0,788,0,4,2,3,0,7446,0,52.0,3,0,0,3,3,0,4,4,2,0,1,1,0,0,1,4,788,0,1941,1950,0,11.51293546492023
735,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,1,1,6,240,1,3,5,5,1940.0,1034,0,2,0,3,0,10134,4,60.0,3,0,0,6,17,39,5,5,2,0,1,1,4,0,1,5,735,0,1940,1950,1,11.599112335481124
1144,0,0,0,739,0,1,1,0,4,1,2,2,0,0,3,0,1,1,6,596,1,3,5,1,1956.0,1144,0,4,2,3,0,9571,4,68.0,3,0,0,5,7,0,5,5,2,0,1,1,4,0,1,6,1144,44,1956,1956,4,11.767575435251748
894,0,0,0,777,0,5,0,0,4,1,2,2,0,0,3,0,1,1,6,600,2,2,5,5,1985.0,894,0,4,2,3,0,7200,4,60.0,3,0,0,8,5,0,4,5,2,0,1,3,4,0,1,6,894,215,1972,1972,3,11.719947764402807
876,0,0,3,540,0,0,0,0,4,1,4,2,0,0,5,1,1,2,6,264,1,2,5,1,1962.0,1812,0,4,5,3,0,7590,4,69.0,3,188,0,6,12,168,4,5,2,0,1,1,4,0,1,8,864,0,1962,1962,1,12.040614105490253
1077,0,0,3,0,0,6,0,0,1,1,2,2,0,0,3,0,0,1,1,338,1,3,4,5,1920.0,1077,0,2,2,3,0,8967,0,60.0,3,0,0,10,9,0,1,5,0,0,1,1,0,0,1,6,961,0,1920,1950,1,11.112462823634855
1112,0,0,3,812,0,2,1,0,2,1,2,2,0,0,3,0,2,2,6,438,2,0,5,1,2007.0,1550,0,0,5,2,0,8125,4,65.0,3,57,0,9,21,168,4,7,2,0,1,1,4,0,1,7,1092,0,2006,2007,3,12.392556361841777
1288,0,4,3,786,0,2,1,0,2,1,2,2,0,0,2,2,2,1,6,500,2,0,5,1,1996.0,1288,1,0,2,0,0,14963,4,38.0,1,0,0,11,24,30,4,8,2,0,1,1,4,224,1,4,1260,120,1996,1996,2,12.411056299528171
1310,0,0,0,24,0,2,0,0,2,1,2,2,0,0,2,1,2,2,6,400,2,0,5,1,2005.0,1310,0,0,2,2,0,8767,4,65.0,0,0,0,6,5,0,4,7,2,0,1,1,5,0,1,6,1310,0,2005,2005,0,12.013646205940514
672,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,2,1,6,240,1,3,5,5,1940.0,672,0,0,2,3,0,10200,4,60.0,3,0,0,7,19,0,7,5,0,0,1,1,4,0,1,4,672,168,1940,1997,2,11.58989576532275
1165,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,420,2,0,5,3,1998.0,2263,1,2,5,2,0,12090,0,93.0,3,297,0,6,15,123,4,8,2,0,1,3,0,0,1,10,1141,144,1998,1998,0,12.460718739865236
806,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,373,2,0,5,3,1995.0,1572,1,2,5,3,0,10364,4,65.0,0,0,0,4,8,40,4,6,2,0,1,1,4,0,1,7,806,0,1995,1996,1,12.031725210748633
1620,0,0,3,1116,0,1,1,0,4,1,1,2,0,0,5,1,1,2,2,490,2,3,5,1,1993.0,1620,0,0,2,3,0,9991,0,71.0,0,0,0,5,19,78,3,4,2,0,1,1,4,0,1,8,1281,120,1976,1993,3,11.918397239722838
1166,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,0,1,1,240,1,3,5,5,1936.0,1639,0,0,0,3,0,10480,4,51.0,3,0,0,2,18,0,4,6,2,0,1,1,4,0,1,6,1064,0,1936,1950,2,11.652696102959753
840,0,0,3,0,0,6,0,0,2,1,2,2,0,160,3,0,0,2,6,308,1,3,5,1,1960.0,1680,0,0,5,3,0,15576,4,63.0,3,0,0,2,6,0,6,6,2,0,1,1,4,0,1,8,840,0,1915,1976,2,12.083910661257521
1071,0,0,3,0,0,6,0,0,0,1,2,2,0,0,2,1,2,2,6,947,3,2,5,1,2006.0,2172,1,0,5,2,0,14154,0,109.0,3,221,0,7,16,62,4,7,2,0,1,1,5,0,1,9,1063,192,2006,2006,1,12.54254845357358
1050,0,0,3,789,0,2,1,0,0,1,2,2,0,0,2,1,2,2,6,836,3,0,5,1,2008.0,2078,1,0,5,0,0,10800,4,85.0,3,57,0,3,21,102,4,8,2,0,1,1,5,0,1,8,1034,0,2007,2008,2,12.73596827534975
1276,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,1,1,4,350,1,3,5,1,1958.0,1276,0,4,2,3,0,9571,4,68.0,3,0,0,5,7,0,2,5,2,0,1,1,0,0,1,5,1276,0,1958,1958,3,11.002116507732017
1056,0,1,2,1056,0,5,1,0,4,0,2,2,0,0,3,0,1,1,6,572,2,0,5,1,1955.0,1056,0,4,2,3,0,34650,4,100.0,3,0,0,0,8,0,4,5,2,0,1,3,4,0,1,5,1056,264,1955,1955,0,11.884495917930655
1478,0,0,0,578,0,2,1,0,0,1,2,2,0,0,2,1,2,2,6,484,2,0,5,1,2009.0,1478,1,0,2,2,0,4403,4,73.5,1,251,0,5,21,144,4,7,2,0,1,1,5,0,1,7,1470,0,2009,2009,4,12.310437165348775
1028,0,0,3,0,0,6,0,0,4,1,0,2,0,130,2,1,1,1,6,360,2,3,5,5,1927.0,1028,0,2,2,3,0,8960,4,56.0,3,0,0,2,17,0,5,5,2,0,1,1,4,0,1,5,1008,0,1927,1950,4,11.652696102959753
1080,0,0,3,50,531,1,0,1,2,1,2,2,0,0,5,1,2,2,6,678,3,3,5,1,1993.0,2097,1,0,5,2,0,11228,1,59.0,1,0,0,11,20,187,4,7,2,0,1,1,4,0,1,9,1080,196,1993,1993,2,12.337105293891872
1340,0,0,0,24,0,2,0,0,2,1,2,2,0,0,3,0,2,2,6,396,2,0,5,1,2007.0,1340,0,0,2,2,0,8899,4,73.0,0,0,0,7,8,30,4,7,2,0,1,1,5,0,1,6,1340,100,2007,2007,1,12.106997888588934
672,0,0,3,209,0,0,0,0,4,1,2,2,0,0,5,1,1,1,6,440,2,0,5,1,1978.0,1400,1,4,5,3,0,7844,4,74.0,3,131,0,2,19,0,6,6,2,0,1,3,4,0,1,6,672,0,1978,1978,0,11.915058360753719
1370,0,0,3,1128,0,1,1,0,2,0,1,2,0,0,2,1,0,2,6,864,3,3,5,5,1918.0,2624,1,4,5,3,0,22420,4,86.0,0,0,0,10,6,0,5,6,0,0,1,3,4,0,1,10,1370,0,1918,1950,1,12.384223015005313
756,0,0,3,312,0,0,1,0,4,0,2,2,0,0,3,0,0,1,6,240,1,3,5,5,1940.0,1134,1,1,0,3,0,8160,4,60.0,3,0,0,3,7,0,5,5,1,0,1,1,1,0,1,7,756,0,1940,1950,1,11.744045122410057
1056,0,0,3,775,0,1,1,0,4,1,2,2,0,184,1,1,1,1,6,304,1,3,5,1,1968.0,1056,0,0,2,3,0,8450,4,65.0,3,0,0,6,12,85,5,5,2,0,1,1,4,0,1,6,1056,0,1968,1968,4,11.863589378812122
1344,0,2,1,1309,0,2,2,0,2,1,2,2,0,0,3,0,2,2,6,784,4,0,5,1,1997.0,1344,0,0,6,3,0,7060,4,78.0,3,129,0,10,11,0,4,7,2,0,1,1,2,0,1,8,1344,0,1997,1998,2,12.237091546357338
1602,0,0,3,1246,0,0,0,1,2,1,2,2,0,0,5,1,1,2,6,529,2,0,5,1,1977.0,1602,0,2,2,2,0,16635,2,80.0,0,77,0,5,14,0,6,6,2,0,1,1,4,0,1,8,1602,240,1977,2000,3,12.278397958261774
988,0,0,3,0,0,6,0,0,4,1,0,2,0,0,3,0,1,1,6,520,2,2,5,1,1954.0,988,0,0,2,3,1,21750,4,100.0,3,0,0,1,11,0,4,5,0,0,1,3,4,0,1,4,988,0,1954,1954,2,11.635151947212842
1470,0,0,3,986,0,2,1,0,2,1,2,2,0,0,5,1,2,2,6,696,3,0,5,1,1998.0,2630,1,2,5,2,0,9200,4,80.0,3,267,0,5,15,66,4,8,2,0,1,1,4,0,1,8,1470,0,1998,1998,2,12.660331092405906
1196,0,0,3,616,0,3,1,0,2,1,2,2,0,0,2,1,1,1,6,297,1,2,5,1,1956.0,1196,0,2,2,3,0,9000,4,72.0,3,38,0,4,12,44,4,6,2,0,1,1,4,0,1,6,1196,0,1956,1956,2,11.842236406331555
707,0,0,3,0,0,6,0,0,4,1,2,2,0,126,2,2,1,1,6,240,1,3,5,5,1947.0,1389,1,2,5,3,0,3378,4,60.0,3,0,0,8,17,0,7,7,1,0,1,1,4,0,1,6,651,0,1946,1992,3,11.813037464800539
1644,0,0,1,1518,0,2,1,1,2,1,2,2,0,0,5,1,2,2,6,569,2,0,5,1,1989.0,1644,0,2,7,2,1,12800,4,66.5,3,90,0,7,20,0,4,7,2,0,1,1,4,396,1,5,1518,80,1989,1989,3,12.524530013005734
907,0,0,3,288,0,5,0,0,4,1,2,2,0,0,3,0,1,1,6,352,1,3,5,5,1964.0,907,0,0,2,3,0,8593,4,77.0,0,0,0,6,12,0,5,4,2,0,1,3,4,0,1,5,907,0,1957,1957,2,11.599185726610004
1208,0,0,3,664,0,2,1,0,2,1,2,2,0,0,3,0,2,2,6,628,2,2,5,1,2007.0,1208,0,0,2,2,0,6762,4,64.0,3,63,0,8,5,54,4,7,2,0,1,1,5,0,1,6,1208,105,2007,2007,1,12.182809136284991
1412,0,0,2,1005,0,2,1,0,2,1,2,2,0,169,5,1,1,2,6,576,2,3,5,1,1988.0,1412,0,4,2,2,0,11457,0,130.0,0,0,0,2,23,0,4,6,2,0,1,1,4,0,1,6,1392,0,1988,1988,3,12.07254696717504
483,0,3,3,387,0,0,0,0,4,1,2,2,0,0,3,0,1,1,6,264,1,3,5,5,1971.0,987,1,4,5,3,0,1680,4,21.0,3,151,0,6,2,0,4,6,2,0,1,1,0,0,1,4,483,0,1971,1971,2,11.355113089309977
1088,0,0,3,0,0,6,0,0,4,1,1,2,0,0,3,0,0,1,6,0,0,1,3,6,0.0,1198,0,2,0,3,0,5586,4,60.0,0,0,0,8,17,98,6,6,0,0,1,1,0,0,1,7,901,0,1920,1998,2,11.288543647320601
765,0,4,3,471,0,0,1,0,4,1,2,2,0,0,3,0,1,1,2,440,2,3,5,5,1971.0,1365,1,0,5,3,0,1920,4,24.0,3,232,0,7,2,36,4,5,2,0,1,1,4,0,1,6,765,240,1971,1971,1,11.715874472198905
926,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,470,2,0,5,1,1997.0,1604,1,0,5,3,0,10839,0,100.0,0,0,0,6,8,36,4,6,2,0,1,1,4,0,1,7,926,0,1997,1998,2,12.10625783509458
630,0,3,0,495,0,0,1,0,2,1,2,2,0,0,3,0,1,1,6,0,0,1,3,6,0.0,630,0,2,6,3,0,1890,4,21.0,3,0,0,5,10,0,6,4,2,0,1,1,4,0,1,3,630,88,1972,1972,2,11.302216779257382
827,0,0,0,385,344,2,1,0,2,1,4,2,0,0,5,1,2,2,6,550,2,2,5,1,1996.0,1661,1,0,5,2,0,10667,1,43.0,1,0,0,3,5,61,5,7,2,0,1,1,4,0,1,6,799,158,1996,1996,3,12.264346270624157
734,0,0,3,0,0,6,0,0,1,1,2,2,0,0,3,0,0,1,6,440,2,3,5,5,1990.0,1118,0,4,0,3,0,4400,4,40.0,3,0,0,9,17,0,7,6,2,0,1,1,4,0,1,6,648,0,1920,1950,0,11.661354090741
904,0,0,3,0,0,6,0,0,4,1,2,2,0,105,3,0,2,1,6,180,1,3,5,5,1926.0,904,0,2,1,3,0,6000,4,50.0,3,0,0,0,3,0,6,6,2,0,1,1,4,0,1,4,884,0,1926,2004,3,11.686887175419702
694,0,0,3,365,0,3,0,0,4,0,2,2,0,34,2,1,2,1,6,352,1,3,2,5,1990.0,694,0,4,2,2,0,4280,4,40.0,3,0,0,2,6,0,5,5,1,0,1,1,4,0,1,4,440,0,1913,2002,1,11.411457364027745
684,0,0,2,0,0,6,0,0,4,1,2,2,0,0,3,0,0,1,6,528,2,3,5,5,2005.0,1196,0,2,0,2,0,12354,0,67.0,3,0,800,7,7,46,7,6,2,0,1,1,4,0,1,7,684,0,1920,2000,3,11.608244735642321
2402,0,0,1,1767,539,2,1,0,0,1,2,2,0,0,2,2,2,2,6,672,3,0,5,1,2008.0,2402,0,0,2,0,0,15431,4,105.0,3,129,0,3,16,72,4,10,2,0,1,3,4,170,1,10,3094,0,2008,2008,3,13.22672519452875
1440,0,2,3,133,0,0,0,0,4,0,2,2,0,0,3,0,1,2,6,0,0,1,3,6,0.0,1440,0,4,2,1,0,12108,4,92.0,3,177,0,8,7,0,3,4,2,0,1,1,4,0,1,8,1440,0,1955,1955,2,11.678448377988165
1128,0,0,3,0,0,6,0,0,4,1,2,2,0,0,2,1,2,2,6,360,2,3,5,5,1930.0,1573,0,4,0,3,0,6240,4,52.0,3,0,0,5,3,0,6,5,1,0,1,1,4,0,1,8,1078,0,1930,1992,2,12.000897933306716
1258,0,4,0,0,0,6,0,0,0,1,2,2,0,0,2,1,2,2,6,648,3,0,5,1,2007.0,1258,0,0,2,2,0,3922,4,53.0,3,37,0,5,0,16,4,7,2,0,1,1,5,0,1,6,1258,144,2006,2007,1,12.058158312538197
933,0,0,3,642,0,2,1,0,2,1,2,2,0,0,5,1,2,2,6,493,2,3,5,1,1994.0,1908,1,0,5,2,0,8750,4,70.0,3,0,0,6,5,133,4,7,2,0,1,1,4,0,1,8,915,144,1994,1995,2,12.25486757159303
1689,0,0,3,0,0,6,0,0,4,1,2,2,0,0,2,1,1,1,6,480,2,3,5,1,1956.0,1689,0,1,2,3,0,9855,0,73.0,3,0,0,10,7,0,4,6,2,0,1,3,4,0,1,7,1436,0,1956,1956,3,11.755879486687116
1888,0,0,3,247,713,0,0,0,4,1,3,2,0,0,2,1,1,2,4,578,2,0,5,1,1966.0,1888,1,0,2,2,0,16492,0,137.0,0,0,0,5,12,0,5,6,2,0,1,1,4,0,1,6,1517,0,1966,2002,4,12.154784614286667
956,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,431,2,0,5,1,1998.0,1886,1,2,5,2,0,11214,0,65.0,0,0,0,6,8,0,4,7,2,0,1,1,4,0,1,10,930,89,1998,1999,0,12.20557752297723
780,0,0,3,0,0,6,0,0,4,1,2,2,0,0,2,1,0,2,6,198,1,3,5,5,1937.0,1376,0,4,0,3,0,8600,4,50.0,3,0,0,5,9,0,5,6,0,0,1,1,4,0,1,7,780,0,1937,1950,0,11.691080018519527
679,0,0,3,331,0,0,0,0,4,1,2,2,0,0,3,0,1,1,6,308,1,3,5,5,1981.0,1183,1,0,0,3,0,6000,4,50.0,3,0,0,5,17,176,6,3,2,0,1,1,4,0,1,6,649,0,1948,2002,1,11.695255355062795
813,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,0,1,6,270,1,3,1,5,1932.0,813,0,0,2,2,0,5684,4,70.0,3,0,0,5,17,113,7,6,0,0,1,3,4,0,1,5,813,0,1930,2005,0,11.608244735642321
1533,0,0,1,655,0,0,1,0,2,1,2,2,0,0,5,2,1,2,6,576,2,3,5,1,1975.0,1533,0,4,2,2,1,70761,4,62.0,0,0,0,11,4,54,4,7,2,0,7,1,4,0,1,5,1533,200,1975,1975,0,12.54254845357358
888,0,0,3,742,0,0,1,0,0,1,2,2,0,0,3,0,2,2,6,422,2,0,5,1,1996.0,1756,1,0,5,3,0,9303,0,85.0,0,18,0,6,23,122,4,6,2,0,1,3,4,0,1,7,872,144,1996,1997,1,12.225880174775122
786,0,0,3,0,0,6,0,0,2,1,2,2,0,0,3,0,2,2,6,676,2,2,5,1,2008.0,1590,1,0,5,2,0,9000,4,75.0,3,0,0,5,21,30,4,8,2,0,1,1,4,0,1,6,768,0,2008,2008,3,12.25486757159303
1728,0,2,3,1606,0,0,2,0,4,1,2,2,0,0,3,0,1,2,6,560,2,3,5,5,1976.0,1728,0,4,2,3,0,9297,4,63.0,3,0,0,6,11,0,4,5,2,0,1,1,3,0,1,8,1728,0,1976,1976,0,12.144202560946876
1242,0,0,3,916,0,0,0,0,4,1,2,2,0,0,5,1,1,1,6,528,2,3,5,1,1973.0,1242,1,1,2,3,0,9600,4,80.0,3,209,0,8,14,0,5,7,2,0,1,3,4,0,1,6,1242,0,1973,1973,1,12.075400019877522
624,0,0,3,0,0,6,0,0,4,0,2,2,0,96,3,0,0,1,6,513,3,3,1,5,1916.0,1344,0,1,5,3,0,4571,4,34.0,3,0,0,4,17,0,4,5,2,0,1,1,0,0,1,7,624,0,1916,1950,2,11.49273296168228
1663,0,0,1,1116,0,1,1,0,2,1,2,2,0,0,2,2,1,1,2,529,2,0,5,1,1954.0,1663,0,0,2,2,1,53227,1,80.0,0,0,0,2,4,137,5,4,2,0,5,0,4,0,1,6,1364,224,1954,1994,2,12.45293662970407
833,0,0,3,0,0,6,0,0,4,1,2,2,0,0,2,1,2,1,6,228,1,3,5,5,1925.0,1666,0,1,5,2,0,5100,4,60.0,3,0,0,5,17,63,6,8,2,0,1,3,4,0,1,7,588,192,1925,1996,2,11.989165855127435
979,0,0,3,185,0,3,1,0,4,1,2,2,0,248,5,1,1,1,6,352,1,3,5,5,1950.0,1203,0,4,0,2,0,7015,0,52.0,0,103,0,6,3,0,3,5,2,0,1,1,4,0,1,5,709,0,1950,1950,3,11.608244735642321
832,0,0,3,544,0,2,1,0,2,1,6,2,0,0,3,0,2,2,6,552,2,0,5,3,2009.0,1935,1,0,5,3,0,8004,4,75.0,0,65,0,11,21,150,4,8,2,0,1,1,5,0,1,8,832,0,2009,2009,3,12.481565733211923
575,0,0,3,350,210,0,1,0,2,1,1,2,0,0,3,0,2,1,6,576,2,2,5,5,1971.0,1135,0,0,5,2,0,7200,4,60.0,3,0,0,3,18,0,8,7,2,0,1,1,4,0,1,6,560,256,1936,2007,3,11.951186847493476
864,0,0,3,553,311,5,0,0,4,1,2,2,0,236,4,1,1,1,6,360,1,3,5,5,1965.0,864,0,2,2,3,0,8281,4,60.0,0,0,0,11,19,0,4,5,2,0,1,1,4,0,1,5,864,0,1965,1965,3,11.04106411122238
849,0,0,3,326,0,3,0,0,4,1,2,2,0,0,2,1,1,1,6,240,1,3,5,5,1939.0,1660,1,1,5,3,1,11988,4,74.0,0,0,0,7,6,0,6,6,2,0,1,3,4,0,1,6,715,0,1934,1995,2,12.147919030759663
1040,0,0,3,616,0,5,0,0,2,1,2,2,0,0,3,0,1,2,6,0,0,1,3,6,0.0,1040,0,4,2,3,1,8430,4,60.0,3,83,0,7,5,0,4,5,2,0,1,1,4,0,1,5,1040,0,1978,1978,3,11.728044909070785
1414,0,4,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,398,2,0,5,1,2004.0,1414,0,0,2,2,0,3072,4,43.0,3,5,0,4,0,20,4,7,2,0,1,3,4,0,1,6,1375,144,2004,2004,0,12.093693109638318
1277,0,0,1,778,0,2,1,0,4,1,2,2,0,0,4,1,1,1,6,526,2,3,5,1,1970.0,1277,0,4,2,3,0,10628,4,85.0,3,0,0,3,12,0,4,7,2,0,5,0,4,176,1,5,1277,0,1970,1970,1,12.025755079404917
888,0,0,3,386,0,3,0,0,4,1,0,2,0,0,2,2,1,1,6,312,1,3,5,1,1942.0,1644,1,0,5,2,0,9480,4,79.0,3,146,0,5,12,0,6,5,2,0,1,1,4,0,1,7,728,168,1942,1995,1,11.89478753335453
1634,0,0,3,0,0,6,0,0,2,1,2,2,0,0,2,1,2,2,6,866,3,2,5,1,2006.0,1634,0,0,2,2,0,11428,4,98.0,0,163,0,4,16,44,4,8,2,0,1,1,4,0,1,7,1626,0,2006,2006,1,12.429220196836383
832,0,0,3,426,0,2,0,0,2,1,7,2,0,0,3,0,2,2,6,506,2,2,5,1,1993.0,1710,1,0,5,2,0,9291,0,76.0,0,73,0,5,20,70,4,6,2,0,1,1,4,0,1,7,832,144,1993,1993,2,12.138869243416009
1502,0,4,0,368,1120,2,1,0,2,1,2,2,0,0,3,0,2,1,6,528,2,2,5,1,1985.0,1502,1,4,2,2,0,6820,0,61.5,0,0,0,5,22,54,4,8,2,0,1,1,4,140,1,4,1488,0,1985,1985,4,12.264346270624157
1161,0,0,3,0,0,6,0,0,2,1,3,2,0,0,2,1,1,2,6,534,2,2,5,1,1977.0,1969,1,4,5,3,0,11952,4,92.0,3,0,0,10,14,0,5,7,2,0,6,4,4,276,1,8,808,0,1977,1977,1,12.154784614286667
